,0,1
0,0,0
2,0.979062,0
3,7.50312,0
4,17.3016,-0.105625
5,29.1169,-1.41281
6,36.4109,-2.76281
7,41.0522,-3.9525
8,44.4813,-5.59062
9,46.3853,-6.97844
10,50.1191,-10.3047
11,55.9209,-19.1669
12,59.8787,-31.3534
13,61.9678,-48.0481
14,60.1075,-58.6869
15,57.9453,-65.1909
16,56.2491,-70.0594
17,55.2412,-73.7612
18,55.2272,-76.2525
19,56.3978,-79.6666
20,59.3059,-84.0669
21,63.7016,-88.9522
22,69.3566,-93.1072
23,78.0428,-97.6697
24,89.0516,-100.57
25,100.867,-101.232
26,110.933,-99.4091
27,121.696,-97.3628
28,131.442,-98.2109
29,138.413,-99.2675
30,144.185,-99.2394
31,150.139,-100.248
32,155.032,-103.472
33,157.078,-108.307
34,157.993,-115.917
35,157.328,-130.155
36,152.79,-142.393
37,148.624,-149.086
38,144.827,-153.164
