VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1644935058251	0.905937	0	-0.0369761	0.999997	3.1361e-05	0.00246835	1.98361e-05	1	0	0	1	0	2478.31	2.63266	img_PhysXCar__0_1644935058249905400.png
PhysXCar	1644935058304	1.05875	0	-0.0369422	0.999997	3.12981e-05	0.00246244	2.19407e-05	1	0	0	1	0	2602.33	2.81501	img_PhysXCar__0_1644935058303598200.png
PhysXCar	1644935058352	1.195	0	-0.0369637	0.999997	3.1236e-05	0.00245333	2.42484e-05	1	0	0	1	0	2711.95	2.97478	img_PhysXCar__0_1644935058350686600.png
PhysXCar	1644935058404	1.35531	0	-0.0369764	0.999997	3.117e-05	0.00244224	2.66091e-05	1	0	0	1	0	2835.12	3.15329	img_PhysXCar__0_1644935058403680400.png
PhysXCar	1644935058449	1.5025	0	-0.0369881	0.999997	3.11096e-05	0.00243181	2.87254e-05	1	0	0	1	0	2939.47	3.30403	img_PhysXCar__0_1644935058448823100.png
PhysXCar	1644935058500	1.6725	0	-0.0370013	0.999997	3.10449e-05	0.00241977	3.11349e-05	1	0	0	1	0	3056.34	3.47229	img_PhysXCar__0_1644935058499512900.png
PhysXCar	1644935058553	1.85719	0	-0.0369913	0.999997	3.09777e-05	0.00240713	3.36988e-05	1	0	0	1	0	3175.86	3.64401	img_PhysXCar__0_1644935058551666300.png
PhysXCar	1644935058603	2.04344	0	-0.0370034	0.999997	3.0915e-05	0.00239533	3.62358e-05	1	0	0	1	0	3290.38	3.80827	img_PhysXCar__0_1644935058601968500.png
PhysXCar	1644935058654	2.24094	0	-0.0369997	0.999997	3.08447e-05	0.00238341	3.88919e-05	1	0	0	1	0	3407.98	3.97668	img_PhysXCar__0_1644935058653194600.png
PhysXCar	1644935058705	2.44906	0	-0.0369963	0.999997	3.07763e-05	0.00237179	4.16473e-05	1	0	0	1	0	3524.85	4.144	img_PhysXCar__0_1644935058704435400.png
PhysXCar	1644935058750	2.64062	0	-0.0369898	0.999997	3.07226e-05	0.00236177	4.41556e-05	1	0	0	1	0	3626.45	4.28956	img_PhysXCar__0_1644935058749551800.png
PhysXCar	1644935058801	2.86375	0	-0.036993	0.999997	3.06605e-05	0.00235116	4.70427e-05	1	0	0	1	0	3741.89	4.45495	img_PhysXCar__0_1644935058800590100.png
PhysXCar	1644935058852	3.09156	0	-0.036995	0.999997	3.0593e-05	0.00234121	4.9958e-05	1	0	0	1	0	3854.8	4.61689	img_PhysXCar__0_1644935058851509800.png
PhysXCar	1644935058903	3.33031	0	-0.0369907	0.999997	3.05277e-05	0.00233155	5.29766e-05	1	0	0	1	0	3968.71	4.78041	img_PhysXCar__0_1644935058902651500.png
PhysXCar	1644935058955	3.57812	0	-0.0369877	0.999997	3.04555e-05	0.00232232	5.60783e-05	1	0	0	1	0	4082.06	4.94335	img_PhysXCar__0_1644935058953932400.png
PhysXCar	1644935059005	3.83156	0	-0.0370687	0.999997	3.03858e-05	0.00231391	5.92188e-05	1	0	0	1	0	4193.34	5.10455	img_PhysXCar__0_1644935059003991600.png
PhysXCar	1644935059050	4.06531	0	-0.0371156	0.999997	3.03221e-05	0.0023073	6.20767e-05	1	0	0	1	0	4292.02	5.24768	img_PhysXCar__0_1644935059049428800.png
PhysXCar	1644935059101	4.33594	0	-0.037109	0.999997	3.0261e-05	0.00230116	6.49838e-05	1	0	0	1	0	4402.8	5.40878	img_PhysXCar__0_1644935059100237100.png
