VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1645719659350	0	0	-0.0357487	1	3.19237e-05	5.96046e-08	-1.9028e-12	1	-0.5	0	0	0	3742.12	-4.53416e-08	img_PhysXCar__0_1645719659349037400.png
PhysXCar	1645719659405	0.0028125	-0.000625	-0.0358906	1	9.27061e-05	0.000196363	-0.000371529	1	-0.5	0	1	0	3651.26	0.204342	img_PhysXCar__0_1645719659404091200.png
PhysXCar	1645719659456	0.0203125	-0.0053125	-0.036172	0.999997	0.000320081	0.00083995	-0.00223519	1	-0.5	0	1	0	3709.01	0.476842	img_PhysXCar__0_1645719659455355600.png
PhysXCar	1645719659503	0.0465625	-0.01125	-0.0363555	0.999987	0.000557578	0.00135253	-0.00487564	1	-0.5	0	1	0	3765.53	0.719786	img_PhysXCar__0_1645719659502372900.png
PhysXCar	1645719659559	0.093125	-0.021875	-0.0365555	0.999956	0.00084398	0.00183778	-0.00921005	1	-0.5	0	1	0	3835.18	1.00136	img_PhysXCar__0_1645719659557943000.png
PhysXCar	1645719659607	0.145313	-0.0340625	-0.0366649	0.999901	0.00107364	0.00215193	-0.013883	1	-0.5	0	1	0	3897.35	1.23821	img_PhysXCar__0_1645719659605690500.png
PhysXCar	1645719659664	0.230625	-0.054375	-0.0368069	0.99977	0.0013442	0.00244911	-0.021244	1	-0.5	0	1	0	3978.64	1.53515	img_PhysXCar__0_1645719659658097600.png
PhysXCar	1645719659702	0.282813	-0.0665625	-0.036912	0.999668	0.00147305	0.00256283	-0.025611	1	-0.5	0	1	0	4027.01	1.70255	img_PhysXCar__0_1645719659701240800.png
PhysXCar	1645719659757	0.38	-0.0903125	-0.0369587	0.999433	0.00167158	0.00269732	-0.0335154	1	-0.5	0	1	0	4104.31	1.96048	img_PhysXCar__0_1645719659756397300.png
PhysXCar	1645719659812	0.490938	-0.119062	-0.0368652	0.9991	0.00186033	0.00277645	-0.0422762	1	-0.5	0	1	0	4184.78	2.21382	img_PhysXCar__0_1645719659811013800.png
