VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1645719446579	0	0	-0.0721478	1	8.07415e-06	3.49259e-15	4.32564e-10	1	0	0	0	0	1375.4	-9.13268e-08	img_PhysXCar__0_1645719446578446500.png
PhysXCar	1645719446629	0	0	-0.0342146	1	2.04406e-05	2.06528e-14	1.01038e-09	1	-0.5	0	0	0	1601.72	3.05809e-06	img_PhysXCar__0_1645719446628365700.png
PhysXCar	1645719446676	0	0	-0.0291815	1	2.69159e-05	6.26062e-14	2.326e-09	1	-0.5	0	0	0	1806.13	4.61771e-06	img_PhysXCar__0_1645719446674802700.png
PhysXCar	1645719446731	0	0	-0.0292974	1	3.16206e-05	0	0	1	-0.5	0	0	0	2052.72	3.39528e-06	img_PhysXCar__0_1645719446730278900.png
PhysXCar	1645719446781	0	0	-0.0304348	1	3.37209e-05	0	0	1	-0.5	0	0	0	2270.98	1.91464e-06	img_PhysXCar__0_1645719446780395900.png
PhysXCar	1645719446835	0	0	-0.0315754	1	3.46638e-05	0	0	1	-0.5	0	0	0	2505.15	8.04962e-07	img_PhysXCar__0_1645719446834250800.png
PhysXCar	1645719446878	0	0	-0.0324053	1	3.46638e-05	0	0	1	-0.5	0	0	0	2689.9	-6.07579e-08	img_PhysXCar__0_1645719446877188500.png
PhysXCar	1645719446927	0	0	-0.0332169	1	3.46638e-05	0	0	1	-0.5	0	0	0	2898.47	-2.91388e-07	img_PhysXCar__0_1645719446926267700.png
PhysXCar	1645719446979	0	0	-0.0338328	1	3.46638e-05	0	0	1	-0.5	0	0	0	3124.06	-4.95826e-07	img_PhysXCar__0_1645719446978986500.png
PhysXCar	1645719447035	0	0	-0.0343392	1	3.46638e-05	0	0	1	-0.5	0	0	0	3359	-7.24528e-07	img_PhysXCar__0_1645719447034505100.png
PhysXCar	1645719447078	0	0	-0.0347115	1	3.36528e-05	0	0	1	-0.5	0	0	0	3538.9	-7.78386e-07	img_PhysXCar__0_1645719447077804300.png
PhysXCar	1645719447123	0	0	-0.0350721	1	3.36528e-05	0	0	1	-0.5	0	0	0	3729.55	-5.89603e-07	img_PhysXCar__0_1645719447122833000.png
PhysXCar	1645719447176	0	0	-0.0353651	1	3.26906e-05	0	0	1	-0.5	0	0	0	3944.03	-5.10209e-07	img_PhysXCar__0_1645719447174957000.png
PhysXCar	1645719447231	0	0	-0.0355563	1	3.26906e-05	0	0	1	-0.5	0	0	0	3911.26	-4.24073e-07	img_PhysXCar__0_1645719447230086300.png
PhysXCar	1645719447280	0	0	-0.0356823	1	3.26906e-05	0	0	1	-0.5	0	0	0	3844.05	-4.97848e-07	img_PhysXCar__0_1645719447279508800.png
PhysXCar	1645719447330	0	0	-0.0357648	1	3.17416e-05	1.32798e-13	4.18373e-09	1	-0.5	0	0	0	3778.12	-2.00363e-07	img_PhysXCar__0_1645719447328893400.png
