VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1645988909505	0.3775	-0.0559375	-0.0370024	0.999752	0.00111383	0.00276867	-0.0220856	1	-0.327257	0	1	0	4094.79	1.93335	img_PhysXCar__0_1645988909504021000.png
PhysXCar	1645988909558	0.484062	-0.0740625	-0.0369934	0.999613	0.00123427	0.00286334	-0.0276481	1	-0.327257	0	1	0	4169.08	2.17998	img_PhysXCar__0_1645988909556654400.png
PhysXCar	1645988909605	0.590625	-0.0921875	-0.037096	0.99945	0.00134082	0.00291591	-0.0330196	1	-0.327257	0	1	0	4236.48	2.39566	img_PhysXCar__0_1645988909603453400.png
PhysXCar	1645988909656	0.695	-0.110937	-0.0371734	0.999267	0.00143767	0.00294333	-0.0381432	1	-0.327257	0	1	0	4305.66	2.60779	img_PhysXCar__0_1645988909654230600.png
PhysXCar	1645988909704	0.826875	-0.1375	-0.0371897	0.998987	0.00161633	0.00293973	-0.0448853	1	-0.453223	0	1	0	4378.55	2.8122	img_PhysXCar__0_1645988909702513300.png
PhysXCar	1645988909758	0.9725	-0.171562	-0.0371995	0.998548	0.00199547	0.00288352	-0.0537517	1	-0.453223	0	1	0	4461.75	3.04057	img_PhysXCar__0_1645988909756895700.png
PhysXCar	1645988909812	1.12937	-0.211562	-0.0371709	0.99797	0.00235967	0.00283097	-0.0635858	1	-0.453223	0	1	0	4544.93	3.2666	img_PhysXCar__0_1645988909810302000.png
PhysXCar	1645988909858	1.28344	-0.25375	-0.03715	0.997318	0.00264127	0.00277738	-0.0730932	1	-0.453223	0	1	0	4619.35	3.46343	img_PhysXCar__0_1645988909857038000.png
PhysXCar	1645988909910	1.46469	-0.306562	-0.0371661	0.996455	0.00290857	0.00270921	-0.0840384	1	-0.453223	0	1	0	4704.68	3.68343	img_PhysXCar__0_1645988909909356700.png
PhysXCar	1645988909960	1.64187	-0.360938	-0.0371618	0.995517	0.00312878	0.00263733	-0.0944913	1	-0.453223	0	1	0	4785.37	3.88574	img_PhysXCar__0_1645988909958371700.png
PhysXCar	1645988910016	1.85812	-0.4325	-0.0371732	0.994255	0.00336551	0.00254374	-0.106952	1	-0.453223	0	1	0	4877.53	4.11065	img_PhysXCar__0_1645988910014935500.png
PhysXCar	1645988910069	2.06156	-0.503437	-0.0371227	0.992975	0.00351686	0.0023236	-0.11825	1	-0.420188	0	0	0	4839.71	4.17462	img_PhysXCar__0_1645988910067593300.png
PhysXCar	1645988910119	2.29938	-0.590312	-0.0368685	0.991454	0.00347778	0.00171768	-0.130396	1	-0.420188	0	0	0	4751.38	4.17379	img_PhysXCar__0_1645988910117663100.png
PhysXCar	1645988910165	2.44969	-0.648438	-0.0369032	0.990428	0.00345365	0.00135677	-0.137982	1	-0.420188	0	0	0	4681.29	4.17094	img_PhysXCar__0_1645988910163305100.png
PhysXCar	1645988910217	2.65375	-0.731562	-0.0368712	0.988922	0.00352127	0.00118547	-0.148389	1	-0.420188	0	2	0	4438.27	4.38291	img_PhysXCar__0_1645988910215601700.png
