VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1645719520135	0.6925	-0.173125	-0.0370872	0.998338	0.00216059	0.00283955	-0.0575218	1	-0.5	0	1	0	4313.87	2.61024	img_PhysXCar__0_1645719520134538900.png
PhysXCar	1645719520189	0.835	-0.214375	-0.0370949	0.997677	0.00235057	0.0028284	-0.0680154	1	-0.5	0	1	0	4395.69	2.84774	img_PhysXCar__0_1645719520187955800.png
PhysXCar	1645719520241	0.98125	-0.259687	-0.0370638	0.996903	0.00253972	0.00279419	-0.0785529	1	-0.5	0	1	0	4476.32	3.07236	img_PhysXCar__0_1645719520240170200.png
PhysXCar	1645719520294	1.14312	-0.312813	-0.0370535	0.995939	0.00274491	0.00273907	-0.0899508	1	-0.5	0	1	0	4561.93	3.30196	img_PhysXCar__0_1645719520293168300.png
PhysXCar	1645719520340	1.29531	-0.365625	-0.0371061	0.994934	0.00293517	0.00267707	-0.100449	1	-0.5	0	1	0	4636.23	3.4969	img_PhysXCar__0_1645719520339929200.png
PhysXCar	1645719520389	1.46125	-0.42625	-0.0371074	0.993744	0.00313954	0.00260133	-0.111606	1	-0.5	0	1	0	4715.96	3.70043	img_PhysXCar__0_1645719520388599300.png
PhysXCar	1645719520440	1.63937	-0.495	-0.0370811	0.992356	0.00335664	0.00251247	-0.123337	1	-0.5	0	1	0	4799.22	3.90729	img_PhysXCar__0_1645719520439337400.png
PhysXCar	1645719520498	1.84438	-0.579062	-0.037007	0.990621	0.00360273	0.00240183	-0.136569	1	-0.5	0	1	0	4896.72	4.14082	img_PhysXCar__0_1645719520497662900.png
PhysXCar	1645719520543	2.03062	-0.659687	-0.0369554	0.98894	0.003783	0.00219848	-0.148252	1	-0.5	0	0	0	4886.16	4.20128	img_PhysXCar__0_1645719520542507600.png
PhysXCar	1645719520592	2.21844	-0.7425	-0.0369442	0.987315	0.00370698	0.00175676	-0.15872	1	0.0773055	0	0	0	4803.95	4.22133	img_PhysXCar__0_1645719520591199100.png
PhysXCar	1645719520638	2.40406	-0.81875	-0.0368644	0.98629	0.00311151	0.00144715	-0.164985	1	0.0773055	0	0	0	4725.74	4.23131	img_PhysXCar__0_1645719520637848100.png
PhysXCar	1645719520689	2.60094	-0.889687	-0.0367777	0.986034	0.0020479	0.00136726	-0.166527	1	0.0773055	0	2	0	4425.22	4.36303	img_PhysXCar__0_1645719520688369700.png
PhysXCar	1645719520740	2.81969	-0.9625	-0.0368033	0.986239	0.00103805	0.00173554	-0.16531	1	0.0773055	0	2	0	4364.03	4.59417	img_PhysXCar__0_1645719520739348200.png
