VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1645719588856	0	0	-0.0293842	1	3.05243e-05	5.96046e-08	-1.81939e-12	1	-0.48348	0	0	0	1946.53	4.20893e-06	img_PhysXCar__0_1645719588855627700.png
PhysXCar	1645719588910	0	0	-0.0304027	1	3.31029e-05	5.96046e-08	-1.97309e-12	1	-0.48348	0	0	0	2180.28	1.90935e-06	img_PhysXCar__0_1645719588909021100.png
PhysXCar	1645719588964	0	0	-0.0315905	1	3.41223e-05	5.96046e-08	-2.03385e-12	1	-0.473041	0	0	0	2417.59	9.14649e-07	img_PhysXCar__0_1645719588962952100.png
PhysXCar	1645719589012	0	0	-0.0325626	1	3.50256e-05	5.96046e-08	-2.08769e-12	1	-0.473041	0	0	0	2629.84	-1.35868e-07	img_PhysXCar__0_1645719589011755400.png
PhysXCar	1645719589064	0	0	-0.0333216	1	3.50256e-05	5.96046e-08	-2.08769e-12	1	-0.473041	0	0	0	2850.2	-1.88721e-07	img_PhysXCar__0_1645719589063483100.png
PhysXCar	1645719589110	0	0	-0.0338331	1	3.50256e-05	5.96046e-08	-2.08769e-12	1	-0.473041	0	0	0	3044.67	-5.90498e-07	img_PhysXCar__0_1645719589109828000.png
PhysXCar	1645719589168	0	0	-0.0343652	1	3.40335e-05	5.96046e-08	-2.02856e-12	1	-0.473041	0	0	0	3286.59	-4.56799e-07	img_PhysXCar__0_1645719589167174400.png
PhysXCar	1645719589212	0	0	-0.034701	1	3.40335e-05	5.96046e-08	-2.02856e-12	1	-0.461251	0	0	0	3479.07	-5.26291e-07	img_PhysXCar__0_1645719589211606600.png
PhysXCar	1645719589260	0	0	-0.0350147	1	3.30954e-05	5.96046e-08	-1.97264e-12	1	-0.461251	0	0	0	3677.18	-3.20942e-07	img_PhysXCar__0_1645719589259321200.png
PhysXCar	1645719589317	0	0	-0.0353176	1	3.30954e-05	5.96046e-08	-1.97264e-12	1	-0.461251	0	0	0	3908.26	-5.44775e-07	img_PhysXCar__0_1645719589316030600.png
PhysXCar	1645719589363	0	0	-0.0354656	1	3.30954e-05	5.96046e-08	-1.97264e-12	1	-0.461251	0	0	0	3904.15	-3.6866e-07	img_PhysXCar__0_1645719589362489100.png
PhysXCar	1645719589409	0	0	-0.0356307	1	3.20937e-05	5.96046e-08	-1.91293e-12	1	-0.461251	0	0	0	3841.69	-3.02254e-07	img_PhysXCar__0_1645719589408390500.png
PhysXCar	1645719589462	0	0	-0.0357477	1	3.20937e-05	5.96046e-08	-1.91293e-12	1	-0.461251	0	0	0	3771.15	-4.26581e-08	img_PhysXCar__0_1645719589460859400.png
PhysXCar	1645719589510	0.001875	-0.0003125	-0.0358901	1	6.66386e-05	0.000116454	-0.000201875	1	-0.46562	0	1	0	3659.58	0.152011	img_PhysXCar__0_1645719589509254400.png
PhysXCar	1645719589560	0.015625	-0.00375	-0.0362334	0.999998	0.000253914	0.000713526	-0.0016524	1	-0.46562	0	1	0	3714.98	0.419141	img_PhysXCar__0_1645719589558870400.png
PhysXCar	1645719589613	0.0446875	-0.01	-0.0365286	0.99999	0.00050508	0.00132164	-0.00433707	1	-0.46562	0	1	0	3778.74	0.702243	img_PhysXCar__0_1645719589612511500.png
PhysXCar	1645719589663	0.0853125	-0.0184375	-0.0366632	0.999967	0.000749403	0.00178019	-0.00789775	1	-0.46562	0	1	0	3841.05	0.960586	img_PhysXCar__0_1645719589662985400.png
PhysXCar	1645719589715	0.139375	-0.0296875	-0.0367852	0.999921	0.000979628	0.00212998	-0.0123881	1	-0.46562	0	1	0	3905.85	1.21428	img_PhysXCar__0_1645719589714351900.png
PhysXCar	1645719589758	0.196875	-0.0421875	-0.0368415	0.99985	0.00118159	0.00235648	-0.0171289	1	-0.488709	0	1	0	3962.24	1.42339	img_PhysXCar__0_1645719589757160400.png
PhysXCar	1645719589810	0.270625	-0.059375	-0.036948	0.999726	0.00139613	0.00254373	-0.0232131	1	-0.488709	0	1	0	4034.06	1.67572	img_PhysXCar__0_1645719589809823500.png
