,0,1
0,0.0,0.0
1,0.0028125,-0.000625
2,0.0203125,-0.0053125
3,0.0465625,-0.01125
4,0.093125,-0.021875
5,0.145313,-0.0340625
6,0.230625,-0.054375
7,0.282813,-0.0665625
8,0.38,-0.0903125
9,0.490938,-0.119062
10,0.595937,-0.146875
11,0.704062,-0.176875
12,0.837812,-0.215937
13,0.987188,-0.262812
14,1.145,-0.315313
15,1.30281,-0.37
16,1.46219,-0.42875
17,1.64812,-0.500937
18,1.83844,-0.579375
19,2.02531,-0.66
20,2.21406,-0.74625
21,2.40719,-0.839375
22,2.58094,-0.925
23,2.79781,-1.02375
24,3.02719,-1.11687
25,3.23062,-1.19
26,3.47156,-1.26781
27,3.70969,-1.33562
28,4.13719,-1.43531
29,4.29625,-1.46687
30,4.55062,-1.51187
31,4.84812,-1.55719
32,5.14594,-1.59438
33,5.4875,-1.62687
34,5.82875,-1.64937
35,6.18344,-1.6625
36,6.48031,-1.66531
37,6.87313,-1.66094
38,7.19562,-1.65031
39,7.56,-1.63
40,7.92687,-1.59938
41,8.29,-1.55937
42,8.61812,-1.52062
43,8.93687,-1.4875
44,9.28594,-1.46
45,9.62562,-1.4425
46,9.95906,-1.43625
47,10.2584,-1.4425
48,10.5528,-1.45844
49,10.8441,-1.48312
50,11.15,-1.51781
51,11.4369,-1.55937
52,11.6959,-1.60406
53,11.9403,-1.65312
54,12.1981,-1.71312
55,12.4662,-1.78344
56,12.67,-1.84281
57,12.9403,-1.92937
58,13.1609,-2.00688
59,13.4059,-2.10031
60,13.6522,-2.20219
61,13.8962,-2.31031
62,14.1403,-2.42656
63,14.3438,-2.53
64,14.5891,-2.66219
65,14.835,-2.80344
66,15.0856,-2.95687
67,15.3166,-3.10063
68,15.5822,-3.25844
69,15.8663,-3.41906
70,16.1016,-3.55094
71,16.3813,-3.70875
72,16.6737,-3.86875
73,16.9397,-4.00531
74,17.2681,-4.16
75,17.5837,-4.2925
76,17.8484,-4.39375
77,18.1978,-4.51562
78,18.4922,-4.60781
79,18.8237,-4.70156
80,19.1038,-4.77219
81,19.4541,-4.84875
82,19.7537,-4.90469
83,20.0406,-4.94969
84,20.3422,-4.98781
85,20.6544,-5.01813
86,20.9481,-5.03813
87,21.2175,-5.04844
88,21.4844,-5.05188
89,21.7553,-5.0475
90,22.0359,-5.03437
91,22.3028,-5.01406
92,22.5528,-4.98844
93,22.8306,-4.95219
94,23.095,-4.91
95,23.3741,-4.85812
96,23.6431,-4.79938
97,23.9003,-4.73656
98,24.1562,-4.66687
99,24.4372,-4.58219
100,24.7378,-4.48219
101,24.9928,-4.38969
102,25.2631,-4.28719
103,25.5809,-4.17312
104,25.8475,-4.08063
105,26.1734,-3.96625
106,26.4778,-3.85844
107,26.7687,-3.7575
108,27.0553,-3.665
109,27.4144,-3.56094
110,27.6869,-3.4925
111,28.0044,-3.42594
112,28.3247,-3.36531
113,28.6172,-3.31375
114,28.92,-3.26562
115,29.2222,-3.22406
116,29.5162,-3.18937
117,29.7841,-3.16437
118,30.065,-3.14656
119,30.3687,-3.13437
