,0,1
0,0.6925,-0.173125
1,0.835,-0.214375
2,0.98125,-0.259687
3,1.14312,-0.312813
4,1.29531,-0.365625
5,1.46125,-0.42625
6,1.63937,-0.495
7,1.84438,-0.579062
8,2.03062,-0.659687
9,2.21844,-0.7425
10,2.40406,-0.81875
11,2.60094,-0.889687
12,2.81969,-0.9625
13,3.05062,-1.03781
14,3.27062,-1.10719
15,3.53062,-1.18125
16,3.7875,-1.24656
17,4.06125,-1.31062
18,4.34812,-1.37281
19,4.61344,-1.42937
20,4.93563,-1.505
21,5.24406,-1.58062
22,5.57219,-1.66188
23,5.85094,-1.73125
24,6.22187,-1.82
25,6.54812,-1.89344
26,6.90188,-1.97
27,7.26969,-2.04719
28,7.63875,-2.12188
29,7.9875,-2.19
30,8.38469,-2.26375
31,8.75594,-2.33
32,9.13531,-2.395
33,9.49531,-2.45281
34,9.83062,-2.50844
35,10.1556,-2.56781
36,10.5434,-2.64937
37,10.8303,-2.71875
38,11.16,-2.80625
39,11.505,-2.90031
40,11.7925,-2.97406
41,12.0941,-3.04844
42,12.3953,-3.1225
43,12.6753,-3.19125
44,12.9409,-3.25531
45,13.2297,-3.32375
46,13.5091,-3.38937
47,13.745,-3.44406
48,14.0112,-3.50531
49,14.2869,-3.57062
50,14.5309,-3.63094
51,14.7972,-3.69719
52,15.0691,-3.765
53,15.3459,-3.83531
54,15.6075,-3.89906
55,15.8684,-3.95656
56,16.1559,-4.01
57,16.4431,-4.0525
58,16.7841,-4.0875
59,17.0669,-4.1075
60,17.3478,-4.11937
61,17.6722,-4.12437
62,17.9966,-4.11969
63,18.3106,-4.10625
64,18.6319,-4.08313
65,18.9344,-4.0525
66,19.2891,-4.00562
67,19.5741,-3.95969
68,19.8888,-3.89937
69,20.2134,-3.83156
70,20.4966,-3.77688
71,20.7962,-3.72687
72,21.1009,-3.68562
73,21.3991,-3.6525
74,21.6778,-3.62812
75,21.9325,-3.61562
76,22.2156,-3.6125
77,22.4934,-3.61812
78,22.7659,-3.63219
79,23.0069,-3.65031
80,23.2884,-3.67844
81,23.5716,-3.71469
82,23.8472,-3.75781
83,24.0894,-3.80187
